input,Conductivity [S/cm]
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|4.46$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$100,-2.2350770153501114
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|4.46$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$95,-2.218963061378868
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|4.46$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$90,-2.2269453066357374
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|4.46$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$84,-2.2350770153501114
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|4.46$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$79,-2.2596373105057563
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|4.46$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$74,-2.55129368009492
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|4.46$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$69,-3.037630664329979
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|4.46$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$64,-3.0457574905606752
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|4.46$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$60,-3.134896025358872
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|4.46$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$54,-3.240332155310369
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|4.46$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$50,-3.289036881004724
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|4.46$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$44,-3.5072396109731625
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|4.46$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$39,-3.9355420107730814
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|4.46$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$35,-4.30189945437661
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|4.46$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$29,-4.714442690992226
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|4.46$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$24,-5.031050319018657
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|1.65$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$95,-2.10292299679058
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|1.65$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$89,-2.070581074285707
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|1.65$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$85,-2.094743951251549
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|1.65$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$80,-2.11069829749369
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|1.65$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$75,-2.1186153432294272
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|1.65$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$69,-2.094743951251549
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|1.65$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$64,-2.11069829749369
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|1.65$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$60,-2.1186153432294272
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|1.65$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$54,-2.1426675035687315
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|1.65$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$45,-3.068033885271827
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|1.65$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$39,-3.337242168318426
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|1.65$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$34,-4.009217308196862
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|1.65$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$30,-4.29073003902417
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|1.65$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$24,-4.774690718274138
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|1.16$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$100,-2.164943898279884
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|1.16$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$96,-2.1567672219019904
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|1.16$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$90,-2.1487416512809245
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|1.16$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$85,-2.1487416512809245
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|1.16$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$80,-2.1487416512809245
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|1.16$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$74,-2.1890957193312994
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|1.16$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$70,-2.1972262747080245
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|1.16$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$64,-2.1972262747080245
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|1.16$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$60,-2.173277479831008
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|1.16$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$55,-2.18111458540599
*CCO*NAN_ratioNAN_ratioNAN_ratio$600000$NAN_Mn$NAN_Mw/Mn$13621$S_1$65$NAN_Tg|F[P-](F)(F)(F)(F)FNAN_ratioNAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$1.0$1$S_3$200$NAN_Tg|1.16$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$35,-3.707743928643524
